	"species"	"abbreviation"
601	"Aepyprymnus rufescens"	"arufescens"
602	"Aequipecten opercularis"	"aopercularis"
603	"Aequorivita sublithincola"	"asublithincola"
604	"Aequidens tetramerus"	"atetramerus"
605	"Aequorea victoria"	"avictoria"
606	"Aeromonas caviae"	"acaviae"
607	"Aeromonas enteropelogenes"	"aenteropelogenes"
608	"Aeromicrobium erythreum"	"aerythreum"
609	"Aeria eurimedia"	"aeurimedia"
610	"Aeromonas hydrophila subsp. hydrophila"	"ahydrophila"
611	"Aeromonas hydrophila"	"ahydrophila"
612	"Aeromonas jandaei"	"ajandaei"
613	"Aeromonas media"	"amedia"
614	"Aeropyrum pernix"	"apernix"
615	"Aeropyrum pernix"	"apernix"
616	"Aeranthes ramosa"	"aramosa"
617	"Aeromonas salmonicida"	"asalmonicida"
618	"Aeromonas salmonicida"	"asalmonicida"
619	"Aeromonas sobria"	"asobria"
620	"Aeronautes saxatalis"	"asaxatalis"
621	"Aerococcus urinae"	"aurinae"
622	"Aeromonas veronii"	"averonii"
623	"Aerodramus vulcanorum"	"avulcanorum"
624	"Aeshna cyanea"	"acyanea"
625	"Aesculus hippocastanum"	"ahippocastanum"
626	"Aesculus pavia"	"apavia"
627	"Aethalops alecto"	"aalecto"
628	"Aethionema cordifolium"	"acordifolium"
629	"Aethia cristatella"	"acristatella"
630	"Aethusa cynapium"	"acynapium"
631	"Aetobatus flagellum"	"aflagellum"
632	"Aethionema grandiflorum"	"agrandiflorum"
633	"Aetobatus narinari"	"anarinari"
634	"Aethionema oppositifolium"	"aoppositifolium"
635	"Aethia psittacula"	"apsittacula"
636	"Aethia pusilla"	"apusilla"
637	"Aethia pygmaea"	"apygmaea"
638	"Aethaloperca rogaa"	"arogaa"
639	"Aethionema saxatile"	"asaxatile"
640	"Aethina tumida"	"atumida"
641	"Avian encephalomyelitis virus"	"aencephalomyelitis"
642	"Avian encephalomyelitis virus"	"aencephalomyelitis"
643	"Avian encephalomyelitis virus"	"aencephalomyelitis"
644	"Afipia felis"	"afelis"
645	"Afifella marina"	"amarina"
646	"Afropavo congensis"	"acongensis"
647	"Afrocarpus gracilior"	"agracilior"
648	"Afrogethes planiusculus"	"aplaniusculus"
649	"Acidianus filamentous virus 1"	"afilamentous"
650	"Acidianus filamentous virus 1"	"afilamentous"
651	"Acidianus filamentous virus 2"	"afilamentous"
652	"Acidianus filamentous virus 2"	"afilamentous"
653	"Agaricia agaricites"	"aagaricites"
654	"Agama aculeata"	"aaculeata"
655	"Agave attenuata"	"aattenuata"
656	"Agapanthus africanus"	"aafricanus"
657	"Agama agama"	"aagama"
658	"Agarivorans albus"	"aalbus"
659	"Agave americana"	"aamericana"
660	"Agalychnis annae"	"aannae"
661	"Agama atra"	"aatra"
662	"Agathis australis"	"aaustralis"
663	"Agaricus bisporus var. bisporus"	"abisporus"
664	"Agaricus benesii"	"abenesii"
665	"Agaricus bisporus"	"abisporus"
666	"Agabus bipustulatus"	"abipustulatus"
667	"Agave bracteosa"	"abracteosa"
668	"Agaricus bitorquis"	"abitorquis"
669	"Agaricus bisporus var. burnettii"	"abisporus"
670	"Agaricus californicus"	"acalifornicus"
671	"Agave celsii"	"acelsii"
672	"Agalychnis callidryas"	"acallidryas"
673	"Agaricus campestris"	"acampestris"
674	"Agapornis canus"	"acanus"
675	"Agallia constricta"	"aconstricta"
676	"Agapanthus campanulatus"	"acampanulatus"
677	"Agarum clathratum"	"aclathratum"
678	"Agathis dammara"	"adammara"
679	"Agapornis fischeri"	"afischeri"
680	"Agastache foeniculum"	"afoeniculum"
681	"Agaricia fragilis"	"afragilis"
682	"Agave ghiesbreghtii"	"aghiesbreghtii"
683	"Agaricia humilis"	"ahumilis"
684	"Agama impalearis"	"aimpalearis"
685	"Agaricus lilaceps"	"alilaceps"
686	"Agapornis lilianae"	"alilianae"
687	"Agastache mexicana"	"amexicana"
688	"Agaraea minuta"	"aminuta"
689	"Agathis montana"	"amontana"
690	"Agathis moorei"	"amoorei"
691	"Agapornis nigrigenis"	"anigrigenis"
692	"Agastachys odorata"	"aodorata"
693	"Agave parviflora"	"aparviflora"
694	"Agaricus placomyces"	"aplacomyces"
695	"Agapornis personatus"	"apersonatus"
696	"Agama planiceps"	"aplaniceps"
697	"Agapanthus praecox"	"apraecox"
698	"Agapornis pullarius"	"apullarius"
699	"Agathis robusta"	"arobusta"
700	"Agapornis roseicollis"	"aroseicollis"
701	"Agastache rugosa"	"arugosa"
702	"Agathobacter rectalis"	"arectalis"
703	"Agassizia scrobiculata"	"ascrobiculata"
704	"Agalychnis spurrelli"	"aspurrelli"
705	"Agaricus subrutilescens"	"asubrutilescens"
706	"Agapornis taranta"	"ataranta"
707	"Agave tequilana"	"atequilana"
708	"Agarophyton tenuistipitatum"	"atenuistipitatum"
709	"Agama tassiliensis"	"atassiliensis"
710	"Agaricus xanthodermus"	"axanthodermus"
711	"American grass carp reovirus"	"agrass"
712	"Agelastica alni"	"aalni"
713	"Agelenopsis aperta"	"aaperta"
714	"Ageratina altissima"	"aaltissima"
715	"Agelaioides badius"	"abadius"
716	"Agelas clathrodes"	"aclathrodes"
717	"Ageratum conyzoides"	"aconyzoides"
718	"Agelas conifera"	"aconifera"
719	"Agelasticus cyanopus"	"acyanopus"
720	"Agelas dispar"	"adispar"
721	"Ageratum houstonianum"	"ahoustonianum"
722	"Agelaius humeralis"	"ahumeralis"
723	"Agelena orientalis"	"aorientalis"
724	"Agelaius phoeniceus"	"aphoeniceus"
725	"Agelaia pallipes pallipes"	"apallipes"
726	"Agelas schmidti"	"aschmidti"
727	"Agelasticus thilius"	"athilius"
728	"Agelaius tricolor"	"atricolor"
729	"Agelaius xanthomus"	"axanthomus"
730	"Agelasticus xanthophthalmus"	"axanthophthalmus"
731	"Aggregatibacter actinomycetemcomitans"	"aactinomycetemcomitans"
732	"Aggregatibacter actinomycetemcomitans serotype C"	"aactinomycetemcomitans"
733	"Aggregatibacter aphrophilus"	"aaphrophilus"
734	"Aggregatibacter aphrophilus"	"aaphrophilus"
735	"Agkistrodon bilineatus"	"abilineatus"
736	"Agkistrodon contortrix laticinctus"	"acontortrix"
737	"Agkistrodon contortrix contortrix"	"acontortrix"
738	"Agkistrodon piscivorus conanti"	"apiscivorus"
739	"Agkistrodon piscivorus piscivorus"	"apiscivorus"
740	"Agkistrodon piscivorus leucostoma"	"apiscivorus"
741	"Aglaophamus australiensis"	"aaustraliensis"
742	"Aglaeactis cupripennis"	"acupripennis"
743	"Aglaiocercus kingii"	"akingii"
744	"Aglais milberti"	"amilberti"
745	"Aglaothamnion neglectum"	"aneglectum"
746	"Aglaothamnion tripinnatum"	"atripinnatum"
747	"Aglais urticae"	"aurticae"
748	"Agonis flexuosa"	"aflexuosa"
749	"Agonostomus monticola"	"amonticola"
750	"Agonum nigrum"	"anigrum"
751	"Agrocybe aegerita"	"aaegerita"
752	"Agrostis alba"	"aalba"
753	"Agrostis capillaris"	"acapillaris"
754	"Agrius cingulata"	"acingulata"
755	"Agrius convolvuli"	"aconvolvuli"
756	"Agropyron cristatum"	"acristatum"
757	"Agrocybe cylindracea"	"acylindracea"
758	"Agriosphodrus dohrni"	"adohrni"
759	"Agrocybe erebia"	"aerebia"
760	"Agrobacterium fabrum"	"afabrum"
761	"Agromyza frontella"	"afrontella"
762	"Agrostemma githago"	"agithago"
763	"Agrotis ipsilon"	"aipsilon"
764	"Agriotes lineatus"	"alineatus"
765	"Agromyces mediolanus"	"amediolanus"
766	"Agriornis micropterus"	"amicropterus"
767	"Agrimonia parviflora"	"aparviflora"
768	"Agrilus planipennis"	"aplanipennis"
769	"Agriocnemis pygmaea"	"apygmaea"
770	"Agrobacterium rhizogenes"	"arhizogenes"
771	"Agrobacterium radiobacter"	"aradiobacter"
772	"Agriphila ruricolella"	"aruricolella"
773	"Agrobacterium sp."	"asp."
774	"Agrobacterium sp."	"asp."
775	"Agrotis segetum"	"asegetum"
776	"Agrobacterium sp."	"asp."
777	"Agrobacterium sp."	"asp."
778	"Agrobacterium sp."	"asp."
779	"Agrostis stolonifera"	"astolonifera"
780	"Agrobacterium tumefaciens"	"atumefaciens"
781	"Agrobacterium tumefaciens"	"atumefaciens"
782	"Agrobacterium tumefaciens"	"atumefaciens"
783	"Agrobacterium tumefaciens"	"atumefaciens"
784	"Agrobacterium tumefaciens"	"atumefaciens"
785	"Agrobacterium tumefaciens"	"atumefaciens"
786	"Agrobacterium tumefaciens"	"atumefaciens"
787	"Agraulis vanillae"	"avanillae"
788	"Agrobacterium vitis"	"avitis"
789	"Agrobacterium vitis"	"avitis"
790	"Agylla argentifera"	"aargentifera"
791	"Agylla asra"	"aasra"
792	"Avon-Heathcote Estuary associated kieseladnavirus"	"aEstuary"
793	"Avian hepatitis E virus"	"ahepatitis"
794	"Atlantic halibut nervous necrosis virus"	"ahalibut"
795	"African horse sickness virus 1"	"ahorse"
796	"African horse sickness virus 2"	"ahorse"
797	"African horse sickness virus 3"	"ahorse"
798	"African horse sickness virus 4"	"ahorse"
799	"African horse sickness virus 5"	"ahorse"
800	"African horse sickness virus 6"	"ahorse"
801	"African horse sickness virus 7"	"ahorse"
802	"African horse sickness virus 8"	"ahorse"
803	"African horse sickness virus 9"	"ahorse"
804	"Atkinsonella hypoxylon virus"	"ahypoxylon"
805	"Alcelaphine herpesvirus 1"	"aherpesvirus"
806	"Atkinsonella hypoxylon virus"	"ahypoxylon"
807	"Aigialus parvus"	"aparvus"
808	"Ailanthus altissima"	"aaltissima"
809	"Ailurus fulgens"	"afulgens"
810	"Ailuropoda melanoleuca"	"amelanoleuca"
811	"Ailurops ursinus"	"aursinus"
812	"Aimophila ruficeps"	"aruficeps"
813	"Aino virus"	"avirus"
814	"Aiptasia diaphana"	"adiaphana"
815	"Aipysurus laevis"	"alaevis"
816	"Aiptasia pulchella"	"apulchella"
817	"Aichi virus"	"avirus"
818	"Aichi virus"	"avirus"
819	"Aix galericulata"	"agalericulata"
820	"Aix sponsa"	"asponsa"
821	"Ajellomyces capsulatus"	"acapsulatus"
822	"Ajellomyces capsulatus"	"acapsulatus"
823	"Ajellomyces capsulatus"	"acapsulatus"
824	"Ajellomyces capsulatus"	"acapsulatus"
825	"Ajellomyces capsulatus"	"acapsulatus"
826	"Ajellomyces dermatitidis"	"adermatitidis"
827	"Ajellomyces dermatitidis"	"adermatitidis"
828	"Ajellomyces dermatitidis"	"adermatitidis"
829	"Ajuga chamaepitys"	"achamaepitys"
830	"Ajuga reptans"	"areptans"
831	"Akania bidwillii"	"abidwillii"
832	"Akebia quinata"	"aquinata"
833	"Akkesiphycus lubricum"	"alubricum"
834	"Akkermansia muciniphila"	"amuciniphila"
835	"Akodon aerosus"	"aaerosus"
836	"Akodon affinis"	"aaffinis"
837	"Akodon albiventer"	"aalbiventer"
838	"Akodon azarae"	"aazarae"
839	"Akodon boliviensis"	"aboliviensis"
840	"Akodon budini"	"abudini"
841	"Akodon cursor"	"acursor"
842	"Akodon dayi"	"adayi"
843	"Akodon dolores"	"adolores"
844	"Akodon fumeus"	"afumeus"
845	"Akodon iniscatus"	"ainiscatus"
846	"Akodon juninensis"	"ajuninensis"
847	"Akodon kofordi"	"akofordi"
848	"Akodon lindberghi"	"alindberghi"
849	"Akodon lutescens puer"	"alutescens"
850	"Akodon mimus"	"amimus"
851	"Akodon molinae"	"amolinae"
852	"Akodon montensis"	"amontensis"
853	"Akodon mollis"	"amollis"
854	"Akodon mystax"	"amystax"
855	"Akodon orophilus"	"aorophilus"
856	"Akodon paranaensis"	"aparanaensis"
857	"Akodon philipmyersi"	"aphilipmyersi"
858	"Akodon reigi"	"areigi"
859	"Akodon serrensis"	"aserrensis"
860	"Akodon siberiae"	"asiberiae"
861	"Akodon spegazzinii"	"aspegazzinii"
862	"Akodon subfuscus"	"asubfuscus"
863	"Akodon toba"	"atoba"
864	"Akodon torques"	"atorques"
865	"Alabama argillacea"	"aargillacea"
866	"Alauda arvensis"	"aarvensis"
867	"Alangium chinense"	"achinense"
868	"Alaria esculenta"	"aesculenta"
869	"Alasmidonta heterodon"	"aheterodon"
870	"Alasmidonta marginata"	"amarginata"
871	"Alaria marginata"	"amarginata"
872	"Albuca bracteata"	"abracteata"
873	"Albinaria caerulea"	"acaerulea"
874	"Albizia julibrissin"	"ajulibrissin"
875	"Albizia kalkora"	"akalkora"
876	"Albuca setosa"	"asetosa"
877	"Albinaria turrita"	"aturrita"
878	"Albifimbria verrucaria"	"averrucaria"
879	"Alces alces alces"	"aalces"
880	"Alces alces cameloides"	"aalces"
881	"Alcithoe aillaudorum"	"aaillaudorum"
882	"Alcedo atthis"	"aatthis"
883	"Alcanivorax borkumensis"	"aborkumensis"
884	"Alcelaphus buselaphus"	"abuselaphus"
885	"Alcanivorax dieselolei"	"adieselolei"
886	"Alcaligenes faecalis"	"afaecalis"
887	"Alcaligenes hydrogenophilus"	"ahydrogenophilus"
888	"Alcelaphus lichtensteinii"	"alichtensteinii"
889	"Alcaligenes sp."	"asp."
890	"Alcaligenes sp."	"asp."
891	"Alcaligenes sp."	"asp."
892	"Alca torda"	"atorda"
893	"Alcithoe wilsonae"	"awilsonae"
894	"Alcaligenes xylosoxydans xylosoxydans"	"axylosoxydans"
895	"Aldrichetta forsteri"	"aforsteri"
896	"Aldabrachelys gigantea"	"agigantea"
897	"Alderia modesta"	"amodesta"
898	"Alderia willowi"	"awillowi"
899	"Alder yellows phytoplasma"	"ayellows"
900	"Aleurochiton aceris"	"aaceris"
901	"Alectrias alectrolophus"	"aalectrolophus"
902	"Alepocephalus agassizii"	"aagassizii"
903	"Alectis alexandrina"	"aalexandrina"
904	"Alepidocline annua"	"aannua"
905	"Alepocephalus australis"	"aaustralis"
906	"Aleuria aurantia"	"aaurantia"
907	"Alepocephalus bairdii"	"abairdii"
908	"Alepocephalus bicolor"	"abicolor"
909	"Alexandrium catenella"	"acatenella"
910	"Alectoris chukar"	"achukar"
911	"Alectis ciliaris"	"aciliaris"
912	"Aleurocanthus camelliae"	"acamelliae"
913	"Alexandrium cohorticula"	"acohorticula"
914	"Alepes djedaba"	"adjedaba"
915	"Aleurodicus dugesii"	"adugesii"
916	"Aletris farinosa"	"afarinosa"
917	"Alexandrium fundyense"	"afundyense"
918	"Alectoris graeca"	"agraeca"
919	"Alectis indica"	"aindica"
920	"Alectura lathami"	"alathami"
921	"Alexandrium minutum"	"aminutum"
922	"Aleuroglyphus ovatus"	"aovatus"
923	"Alepocephalus productus"	"aproductus"
924	"Alexfloydia repens"	"arepens"
925	"Alectoris rufa"	"arufa"
926	"Alectra sessiliflora"	"asessiliflora"
927	"Aleurocanthus spiniferus"	"aspiniferus"
928	"Alexandrium tamarense"	"atamarense"
929	"Alepocephalus tenebrosus"	"atenebrosus"
930	"Alebra thoracica"	"athoracica"
931	"Alepocephalus umbriceps"	"aumbriceps"
932	"Algansea tincella"	"atincella"
933	"Alcelaphine herpesvirus 1"	"aherpesvirus"
934	"Alicyclobacillus acidocaldarius"	"aacidocaldarius"
935	"Alicyclobacillus acidocaldarius subsp. acidocaldarius"	"aacidocaldarius"
936	"Alicyclobacillus acidoterrestris"	"aacidoterrestris"
937	"Alicyclobacillus acidocaldarius"	"aacidocaldarius"
938	"Alisma canaliculatum"	"acanaliculatum"
939	"Aliatypus californicus"	"acalifornicus"
940	"Alicycliphilus denitrificans"	"adenitrificans"
941	"Alicycliphilus denitrificans"	"adenitrificans"
942	"Aliivibrio fischeri"	"afischeri"
943	"Alistipes finegoldii"	"afinegoldii"
944	"Aliivibrio fischeri"	"afischeri"
945	"Aliivibrio fischeri"	"afischeri"
946	"Aliatypus janus"	"ajanus"
947	"Aliivibrio logei"	"alogei"
948	"Alionycteris paucidentata"	"apaucidentata"
949	"Alisma plantago-aquatica"	"aplantago-aquatica"
950	"Alicia sansibarensis"	"asansibarensis"
951	"Aliivibrio salmonicida"	"asalmonicida"
952	"Alitta succinea"	"asuccinea"
953	"Aliatypus thompsoni"	"athompsoni"
954	"Alitta virens"	"avirens"
955	"Alkalimonas amylolytica"	"aamylolytica"
956	"Alkalilimnicola ehrlichii"	"aehrlichii"
957	"Alkaliphilus metalliredigens"	"ametalliredigens"
958	"Alkaliphilus oremlandii"	"aoremlandii"
959	"Alkhumra hemorrhagic fever virus"	"ahemorrhagic"
960	"Allagoptera arenaria"	"aarenaria"
961	"Alle alle"	"aalle"
962	"Allomyces arbusculus"	"aarbusculus"
963	"Allamanda cathartica"	"acathartica"
964	"Allium cepa"	"acepa"
965	"Allium cepa var. aggregatum"	"acepa"
966	"Allophylus cobbe"	"acobbe"
967	"Allagoptera caudescens"	"acaudescens"
968	"Allactaga elater"	"aelater"
969	"Allotria elonympha"	"aelonympha"
970	"Allobates femoralis"	"afemoralis"
971	"Allium fistulosum"	"afistulosum"
972	"Alloxylon flammeum"	"aflammeum"
973	"Allobates granti"	"agranti"
974	"Allium haematochiton"	"ahaematochiton"
975	"Allionia incarnata"	"aincarnata"
976	"Allochrocebus lhoesti"	"alhoesti"
977	"Allomyces macrogynus"	"amacrogynus"
978	"Allomyces macrogynus"	"amacrogynus"
979	"Alligator mississippiensis"	"amississippiensis"
980	"Allocyttus niger"	"aniger"
981	"Allenopithecus nigroviridis"	"anigroviridis"
982	"Allograpta obliqua"	"aobliqua"
983	"Allenrolfea occidentalis"	"aoccidentalis"
984	"Allagelena opulenta"	"aopulenta"
985	"Alliaria petiolata"	"apetiolata"
986	"Allium porrum"	"aporrum"
987	"Alluaudia procera"	"aprocera"
988	"Allochrocebus preussi"	"apreussi"
989	"Allium sativum"	"asativum"
990	"Alloispermum scabrifolium"	"ascabrifolium"
991	"Allium schoenoprasum"	"aschoenoprasum"
992	"Alloteropsis semialata"	"asemialata"
993	"Alligator sinensis"	"asinensis"
994	"Allochrocebus solatus"	"asolatus"
995	"Alloteuthis subulata"	"asubulata"
996	"Allobates talamancae"	"atalamancae"
997	"Allium textile"	"atextile"
998	"Allosyncarpia ternata"	"aternata"
999	"Allocebus trichotis"	"atrichotis"
1000	"Allium tuberosum"	"atuberosum"
1001	"Allium ursinum"	"aursinum"
1002	"Allochromatium vinosum"	"avinosum"
1003	"Allochromatium vinosum"	"avinosum"
1004	"Allpahuayo mammarenavirus"	"amammarenavirus"
1005	"Allochromatium warmingii"	"awarmingii"
1006	"Alloxylon wickhamii"	"awickhamii"
1007	"Alnus glutinosa"	"aglutinosa"
1008	"Alnus incana"	"aincana"
1009	"Alnus maritima"	"amaritima"
1010	"Alnus viridis subsp. crispa"	"aviridis"
1011	"Alnus viridis"	"aviridis"
1012	"Alopochen aegyptiaca"	"aaegyptiaca"
1013	"Alopoglossus angulatus"	"aangulatus"
1014	"Aloe arborescens"	"aarborescens"
1015	"Alouatta belzebul"	"abelzebul"
1016	"Alouatta caraya"	"acaraya"
1017	"Aloe ferox"	"aferox"
1018	"Aloe glauca"	"aglauca"
1019	"Alouatta guariba"	"aguariba"
1020	"Alopecoenas jobiensis"	"ajobiensis"
1021	"Alocasia macrorrhizos"	"amacrorrhizos"
1022	"Aloe maculata"	"amaculata"
1023	"Alonsoa meridionalis"	"ameridionalis"
1024	"Alopecosa marikovskyi"	"amarikovskyi"
1025	"Alopecurus myosuroides"	"amyosuroides"
1026	"Alouatta palliata"	"apalliata"
1027	"Alouatta pigra"	"apigra"
1028	"Alopecurus pratensis"	"apratensis"
1029	"Alouatta sara"	"asara"
1030	"Alouatta seniculus"	"aseniculus"
1031	"Alosa sapidissima"	"asapidissima"
1032	"Alonsoa unilabiata"	"aunilabiata"
1033	"Alophia veracruzana"	"averacruzana"
1034	"Aloe vera"	"avera"
1035	"Alopias vulpinus"	"avulpinus"
1036	"Alpheus angulosus"	"aangulosus"
1037	"Alpheus armillatus"	"aarmillatus"
1038	"Alpheus bouvieri"	"abouvieri"
1039	"Alpinia calcarata"	"acalcarata"
1040	"Alpheus colombiensis"	"acolombiensis"
1041	"Alpheus cristulifrons"	"acristulifrons"
1042	"Alpheus cylindricus"	"acylindricus"
1043	"Alphitobius diaperinus"	"adiaperinus"
1044	"Alpheus digitalis"	"adigitalis"
1045	"Alpheus djeddensis"	"adjeddensis"
1046	"Alpheus estuariensis"	"aestuariensis"
1047	"Alpheus formosus"	"aformosus"
1048	"Alpinia galanga"	"agalanga"
1049	"Alpheus lottini"	"alottini"
1050	"Alpheus malleator"	"amalleator"
1051	"Alpheus millsae"	"amillsae"
1052	"Alpheus nuttingi"	"anuttingi"
1053	"Alpinia officinarum"	"aofficinarum"
1054	"Alpheus paracrinitus"	"aparacrinitus"
1055	"Alpheus panamensis"	"apanamensis"
1056	"Alpinia purpurata"	"apurpurata"
1057	"Alpheus saxidomus"	"asaxidomus"
1058	"Alpheus schmitti"	"aschmitti"
1059	"Alpheus simus"	"asimus"
1060	"Alpheopsis trigonus"	"atrigonus"
1061	"Alpheus umbo"	"aumbo"
1062	"Alpheus utriensis"	"autriensis"
1063	"Aphid lethal paralysis virus"	"alethal"
1064	"Alpheus vanderbilti"	"avanderbilti"
1065	"Alpheus websteri"	"awebsteri"
1066	"Alpinia zerumbet"	"azerumbet"
1067	"Alstroemeria aurea"	"aaurea"
1068	"Alstroemeria inodora"	"ainodora"
1069	"Alstroemeria ligtu"	"aligtu"
1070	"Alstroemeria pelegrina"	"apelegrina"
1071	"Alstroemeria psittacina"	"apsittacina"
1072	"Alteromonas agarilytica"	"aagarilytica"
1073	"Alternaria alternata"	"aalternata"
1074	"Alternaria brassicicola"	"abrassicicola"
1075	"Alternaria botrytis"	"abotrytis"
1076	"Alternaria brassicicola"	"abrassicicola"
1077	"Alternanthera caracasana"	"acaracasana"
1078	"Alternaria cinerariae"	"acinerariae"
1079	"Altolamprologus calvus"	"acalvus"
1080	"Alteromonas fortis"	"afortis"
1081	"Alteromonas macleodii"	"amacleodii"
1082	"Alteromonas macleodii"	"amacleodii"
1083	"Alticola macrotis"	"amacrotis"
1084	"Alteromonas mediterranea"	"amediterranea"
1085	"Alteromonas macleodii"	"amacleodii"
1086	"Alteromonas macleodii"	"amacleodii"
1087	"Alteromonas naphthalenivorans"	"anaphthalenivorans"
1088	"Althaea officinalis"	"aofficinalis"
1089	"Alteromonas sp."	"asp."
1090	"Alteromonas sp."	"asp."
1091	"Alternaria solani"	"asolani"
1092	"Alteromonas sp."	"asp."
1093	"Alteromonas sp."	"asp."
1094	"Aluterus scriptus"	"ascriptus"
1095	"Avian leukosis virus"	"aleukosis"
1096	"Alvaradoa amorphoides"	"aamorphoides"
1097	"Alvinoconcha hessleri symbiotic bacterium"	"ahessleri"
1098	"Alvikia littoralis"	"alittoralis"
1099	"Alvinocaris lusca"	"alusca"
1100	"Alytes cisternasii"	"acisternasii"
1101	"Alyssum lesbiacum"	"alesbiacum"
1102	"Alyssum montanum"	"amontanum"
1103	"Alytes muletensis"	"amuletensis"
1104	"Alytes obstetricans"	"aobstetricans"
1105	"Alyxia ruscifolia"	"aruscifolia"
1106	"Amazona aestiva"	"aaestiva"
1107	"Amara apricaria"	"aapricaria"
1108	"Amara aulica"	"aaulica"
1109	"Amaryllis belladonna"	"abelladonna"
1110	"Amanita bisporigera"	"abisporigera"
1111	"Amaranthus blitoides"	"ablitoides"
1112	"Amazonetta brasiliensis"	"abrasiliensis"
1113	"Amanita brunnescens"	"abrunnescens"
1114	"Amazilia beryllina"	"aberyllina"
1115	"Amaranthus caudatus"	"acaudatus"
1116	"Amauta cacica"	"acacica"
1117	"Amathia convoluta"	"aconvoluta"
1118	"Amaranthus cruentus"	"acruentus"
1119	"Amazilia cyanocephala"	"acyanocephala"
1120	"Amanita exitialis"	"aexitialis"
1121	"Amazona farinosa"	"afarinosa"
1122	"Amanita fuligineoides"	"afuligineoides"
1123	"Amanita fuliginea"	"afuliginea"
1124	"Amaranthus greggii"	"agreggii"
1125	"Amaranthus hypochondriacus"	"ahypochondriacus"
1126	"Amaranthus hybridus"	"ahybridus"
1127	"Amazophrynella minuta"	"aminuta"
1128	"Amanita muscaria"	"amuscaria"
1129	"Amatitlania nigrofasciata"	"anigrofasciata"
